method,subset,lift,support,odds_ratio,mdss_score,quality_score,time
mdss,{'age_cat': ['Less than 25']},2.7690225563909774,0.18448239510858105,9.327281812125252,274.0578,0.06667437468686167,3.0317575639999994
pysubgroup - beam search,{'age_cat': ['Less than 25']},2.7690225563909774,0.18448239510858105,9.327281812125252,274.0578,0.06667437468686167,0.0140874610000008
pysubgroup - apriori,{'age_cat': ['Less than 25']},2.7690225563909774,0.18448239510858105,9.327281812125252,274.0578,0.06667437468686167,1.3025313599999997
divexplorer - fpgrowth,"{'age_cat': ['Less than 25'], 'race': ['African-American']}",3.0690789473684212,0.10457516339869281,9.169300911854105,208.5765,0.04420549581839905,0.36785375000000187
slice finder - lattice,{'age_cat': ['Less than 25']},2.7690225563909774,0.18448239510858105,9.327281812125252,274.0578,0.06667437468686167,3.4800508479999976
