method,subset,lift,support,odds_ratio,mdss_score,quality_score,time
mdss,{'disability': ['Y']},1.2517988043601447,0.09945365605742965,1.4749416400068984,43.9178,0.00789084975256648,1.8731465529999998
pysubgroup - beam search,{'disability': ['Y']},1.2517988043601447,0.09945365605742965,1.4749416400068984,43.9178,0.00789084975256648,0.006191786999998783
pysubgroup - apriori,{'disability': ['Y']},1.2517988043601447,0.09945365605742965,1.4749416400068984,43.9178,0.00789084975256648,0.9094027929999999
divexplorer - fpgrowth,{'gender': ['M']},1.022532625213343,0.5421193062702496,1.0745936500725977,1.9853,0.003849071907728949,0.35638318800000235
slice finder - lattice,{},-,-,-,-,-,80.936307392
