method,subset,lift,support,odds_ratio,mdss_score,quality_score,time
mdss,"{'PAY_0': ['2', '3', '4']}",3.1564446043971928,0.10216666666666667,11.546470135616046,1582.9075,0.04873406666666667,13.275636907000003
pysubgroup - beam search,{'PAY_2': ['2']},2.514239297560221,0.1309,6.0852141720520905,1033.5517,0.043844919999999996,1.5680928300000048
pysubgroup - apriori,{'PAY_2': ['2']},2.514239297560221,0.1309,6.0852141720520905,1033.5517,0.043844919999999996,1.8184142279999946
divexplorer - fpgrowth,{'PAY_2': ['2']},2.514239297560221,0.1309,6.0852141720520905,1033.5517,0.043844919999999996,11.811795186999994
slice finder - lattice,{'PAY_2': ['2']},2.514239297560221,0.1309,6.0852141720520905,1033.5517,0.043844919999999996,13.444005679
