method,subset,lift,support,odds_ratio,mdss_score,quality_score,time
mdss,"{'MARRIAGE': ['1', '2', '3'], 'SEX': ['1'], 'EDUCATION': ['2', '3']}",1.199846596752899,0.24503333333333333,1.3853418712202066,39.9033,0.010831959999999998,1.7545045709999982
pysubgroup - beam search,{'SEX': ['1']},1.092550969993599,0.39626666666666666,1.2152267259413068,14.1572,0.008112479999999993,0.024930590000000308
pysubgroup - apriori,{'SEX': ['1']},1.092550969993599,0.39626666666666666,1.2152267259413068,14.1572,0.008112479999999993,0.8141182040000032
divexplorer - fpgrowth,"{'EDUCATION': ['2'], 'SEX': ['1']}",1.1844585577467293,0.17913333333333334,1.317259444374351,24.9301,0.007309040000000002,0.37273551300000207
slice finder - lattice,{},-,-,-,-,-,74.06958659400001
