method,subset,lift,support,odds_ratio,mdss_score,quality_score,time
mdss,"{'sex': ['Male'], 'race': ['African-American', 'Native American']}",1.5812104682875878,0.3824583596879612,3.1721876833842204,70.0388,0.04541384133720548,1.3970007950000003
pysubgroup - beam search,"{'race': ['African-American'], 'sex': ['Male']}",1.5818356867779204,0.38034998945814885,3.158031088082902,69.7956,0.0452120725732772,0.005182213999999519
pysubgroup - apriori,"{'race': ['African-American'], 'sex': ['Male']}",1.5818356867779204,0.38034998945814885,3.158031088082902,69.7956,0.0452120725732772,1.2033590000000025
divexplorer - fpgrowth,"{'race': ['African-American'], 'sex': ['Male']}",1.5818356867779204,0.38034998945814885,3.158031088082902,69.7956,0.0452120725732772,0.08705959899999982
slice finder - lattice,{},-,-,-,-,-,13.323303171000003
